npm verbose cli D:\Intern\ReOpSy\tools\node-v22.14.0-win-x64\node.exe D:\Intern\ReOpSy\tools\node-v22.14.0-win-x64\node_modules\npm\bin\npm-cli.js
npm info using npm@10.9.2
npm info using node@v22.14.0
npm verbose title npm install
npm verbose argv "install" "--no-audit" "--no-fund" "--loglevel" "verbose" "--force"
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fnormalize-colors 217ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fcommunity-cli-plugin 224ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/invariant 657ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/nanoid 198ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/stacktrace-parser 377ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/fast-deep-equal 211ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/use-latest-callback 189ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/nullthrows 690ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/escape-string-regexp 177ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fjs-polyfills 361ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/warn-once 174ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-freeze 180ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/undici-types 127ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/warn-once 168ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/csstype 137ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-navigation%2felements 166ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fvirtualized-lists 408ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fgenerator 160ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/debug 193ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-module-imports 170ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-react-native-web 119ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-for-of 106ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-react-compiler 186ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/semver 903ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/standard-navigation 422ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-classes 139ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-react-jsx 134ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-runtime 148ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-transform-flow-enums 158ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fcore 370ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-typescript 144ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-optional-chaining 106ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-block-scoping 127ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-dynamic-import 138ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-unicode-regex 129ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-private-methods 103ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-parameters 208ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-class-properties 114ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-export-default-from 128ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-flow-strip-types 111ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-navigation%2felements 603ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-optional-chaining 100ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-modules-commonjs 132ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-proposal-export-default-from 99ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fassets-registry 670ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-react-jsx-development 89ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-react-display-name 103ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-async-to-generator 125ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-optional-catch-binding 99ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-export-namespace-from 125ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fbabel-plugin-codegen 290ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-react-pure-annotations 133ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-class-static-block 174ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-proposal-decorators 394ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-nullish-coalescing-operator 148ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-destructuring 319ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-async-generator-functions 156ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-private-property-in-object 152ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-nullish-coalescing-operator 150ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-logical-assignment-operators 147ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-named-capturing-groups-regex 149ms (cache revalidated)
npm http cache https://registry.npmjs.org/react-refresh 81ms (cache hit)
npm http cache https://registry.npmjs.org/expo-constants 127ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fpreset-typescript 626ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-transform-object-rest-spread 330ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-modules-core 178ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fdom-webview 213ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fconfig-plugins 188ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fmetro-config 214ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fmetro 338ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fcli 369ms (cache revalidated)
npm http cache https://registry.npmjs.org/@expo%2fconfig-plugins 70ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fdevtools 341ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@ungap%2fstructured-clone 222ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-font 410ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-modules-autolinking 220ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fenv 211ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-asset 441ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fplist 163ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2ffingerprint 365ms (cache revalidated)
npm http cache https://registry.npmjs.org/@react-native%2fnormalize-colors 94ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/expo-file-system 405ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/expo-keep-awake 428ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/whatwg-url-minimum 405ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fimage-utils 185ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/hoist-non-react-statics 181ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2flog-box 589ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fconfig-types 338ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2fconfig 649ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@expo%2flocal-build-cache-provider 612ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/xml2js 512ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@egjs%2fhammerjs 633ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@types%2freact-test-renderer 630ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/is-plain-obj 314ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native-masked-view%2fmasked-view 298ms (cache revalidated)
npm http cache https://registry.npmjs.org/react 18ms (cache hit)
npm http cache https://registry.npmjs.org/react-native 36ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2freact 10ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/color-convert 66ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/color-string 69ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/use-sync-external-store 83ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-is 82ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/query-string 119ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-navigation%2frouters 514ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/decode-uri-component 72ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/filter-obj 73ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/strict-uri-encode 73ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/split-on-first 97ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 227ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/jsesc 85ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2ftypes 92ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-plugin-utils 107ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2ftypes 111ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fparser 132ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2ftypes 144ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@jridgewell%2fgen-mapping 151ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/json5 152ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-decorators 155ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2ftraverse 160ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fparser 166ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-create-class-features-plugin 177ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@jridgewell%2ftrace-mapping 183ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/gensync 194ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2ftraverse 198ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/convert-source-map 204ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fcode-frame 207ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelpers 214ms (cache revalidated)
npm http cache https://registry.npmjs.org/@babel%2ftraverse 140ms (cache hit)
npm http cache https://registry.npmjs.org/@babel%2fhelper-create-class-features-plugin 112ms (cache hit)
npm http cache https://registry.npmjs.org/@babel%2fhelper-create-class-features-plugin 118ms (cache hit)
npm http cache https://registry.npmjs.org/@babel%2ftraverse 118ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2ftemplate 288ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-compilation-targets 405ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-remap-async-to-generator 379ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-create-regexp-features-plugin 319ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-compilation-targets 323ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-flow 351ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-compilation-targets 367ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-globals 390ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@jridgewell%2fremapping 470ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-remap-async-to-generator 411ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-skip-transparent-expression-wrappers 355ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-replace-supers 389ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-annotate-as-pure 395ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-module-transforms 493ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-module-transforms 405ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-jsx 347ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-annotate-as-pure 355ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-annotate-as-pure 345ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-polyfill-corejs2 115ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-annotate-as-pure 344ms (cache revalidated)
npm http cache https://registry.npmjs.org/@babel%2fhelper-skip-transparent-expression-wrappers 89ms (cache hit)
npm http cache https://registry.npmjs.org/@babel%2fhelper-annotate-as-pure 99ms (cache hit)
npm http cache https://registry.npmjs.org/@react-native%2fcodegen 92ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-skip-transparent-expression-wrappers 415ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-polyfill-corejs3 156ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/babel-plugin-polyfill-regenerator 159ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/ms 127ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-validator-option 146ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-jsx 150ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/hermes-parser 149ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fplugin-syntax-typescript 167ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/lru-cache 76ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-validator-identifier 85ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-string-parser 85ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/picocolors 89ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-validator-identifier 90ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fcompat-data 92ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/browserslist 96ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/js-tokens 110ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-validator-identifier 228ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@jridgewell%2fresolve-uri 88ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@jridgewell%2fsourcemap-codec 89ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@jridgewell%2fsourcemap-codec 106ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/node-releases 60ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/yallist 71ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/caniuse-lite 78ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/baseline-browser-mapping 89ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/update-browserslist-db 91ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/electron-to-chromium 101ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-member-expression-to-functions 75ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-optimise-call-expression 308ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-wrap-function 69ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/regexpu-core 75ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/regenerate 76ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/unicode-match-property-ecmascript 80ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/regjsparser 82ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/regenerate-unicode-properties 92ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/regjsgen 94ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/unicode-match-property-value-ecmascript 220ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-define-polyfill-provider 73ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-define-polyfill-provider 79ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/core-js-compat 82ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@babel%2fhelper-define-polyfill-provider 86ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/hermes-estree 85ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/loose-envify 87ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/cliui 89ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/yargs-parser 92ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/y18n 95ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/string-width 97ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/fdir 100ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/escalade 107ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/picomatch 108ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/get-caller-file 114ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/require-directory 233ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/resolve 61ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/lodash.debounce 66ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/is-core-module 66ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/path-parse 70ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/es-errors 71ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/supports-preserve-symlinks-flag 78ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/simple-swizzle 106ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/color-name 107ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/color-name 108ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/is-arrayish 74ms (cache revalidated)
npm http cache https://registry.npmjs.org/expo 13ms (cache hit)
npm http cache https://registry.npmjs.org/react 21ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/expo-router 77ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@testing-library%2freact-native 573ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/jest 66ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/node-notifier 117ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/test-renderer 230ms (cache revalidated)
npm http cache https://registry.npmjs.org/react-native-gesture-handler 6ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/react-native-reanimated 320ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-native-worklets 67ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/@react-native%2fmetro-config 317ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/react-server-dom-webpack 85ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/webpack 83ms (cache revalidated)
npm http cache https://registry.npmjs.org/react-native-worklets 16ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/slugify 359ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/wrap-ansi 360ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/send 370ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/ora 375ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/getenv 377ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/prompts 377ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/zod 389ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/glob 421ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/arg 429ms (cache revalidated)
npm http fetch GET 200 https://registry.npmjs.org/chalk 429ms (cache revalidated)
